Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Maraval Axel;G;17;18;5.27;5.38;5.26;15;12;17;1.4;1.43;1.34;0;0;0;1;1;0.94;1350;1080;1496;90;90;88;;;;1000;3;3.5;6;5;5;7;6;7.5;4;6.5;4.5;6.5;0;4;6.5;4;0;0;0;4.5;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5;Nimes O.;Niort;sam. 28/01 19:00;50;0.06559;0.15602;
Lasne Paul;MD;11;13;5.25;0;5.26;10;0;23;0.59;0;0.65;0;0;0;0.9;0;0.74;786;0;1559;78.6;0;67.78;;;;1000;0;5.5;6;6;5;0;0;0;0;0;0;6;4.5;0;5;0;4.5;5;5;4.5;6;5.5;6.5;0;6;0;5;5.5;0;0;5;5;4.5;6;0;0;5;4;;;;;;;;;;;;;;;;5;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Ngando Axel;MO;10;12;5.25;0;5.19;12;0;16;0.75;0;0.68;0;0;0;0.92;0;0.88;845;0;1033;70.42;0;64.56;;;;1000;0;0;4.5;4.5;0;0;5;6.5;6;4.5;6;4.5;4.5;5.5;5.5;0;0;0;6;0;0;0;0;0;0;5;4.5;0;0;0;0;0;0;5;5.5;0;0;0;;;;;;;;;;;;;;;;0;Grenoble;SC Bastia;sam. 28/01 19:00;50;0.16931;0.24407;
Louis-Jean Johaneko;DL;6;6;5.25;5;5.21;6;1;7;0.61;0;0.57;0;0;0;0.67;1;0.57;357;90;368;59.5;90;52.57;;;;1000;5;0;5;0;0;0;0;0;0;0;0;0;5;0;4.5;6;6;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;0;Bordeaux;Dijon FCO;sam. 28/01 19:00;50;0.61976;;
Nassi Walid;MO;7;7;5.25;5.75;5.25;10;2;10;0.35;0.35;0.35;0;0;0;0.5;0.5;0.5;375;97;375;37.5;48.5;37.5;;;;1000;6;5.5;0;5;5;0;0;0;5;0;5.5;5;0;0;0;0;5;5;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;5.5;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
Sylvestre Eddy;MO;12;14;5.24;5.73;4.98;17;11;28;1.12;1.01;1.01;0;0;0;0.76;0.82;0.61;1198;831;1663;70.47;75.55;59.39;;;;1000;5;5.5;6.5;5;6;4.5;6.5;8;5;5;6;0;0;4.5;4.5;3;4.5;4.5;5;4.5;0;0;0;0;3;4;5.5;5;0;4.5;5.5;4.5;4.5;5;0;0;0;4.5;;;;;;;;;;;;;;;;8;Pau FC;FC Annecy;sam. 28/01 19:00;50;0.41672;0.03269;
Hanin Florent;DL;13;16;5.24;5;5.37;17;2;31;0.59;0;0.65;0;0;0;0.71;0.5;0.77;1101;82;2206;64.76;41;71.16;;;;1000;5;5;0;0;5;6.5;5;6;5.5;5;4.5;5;5;5;6.5;4.5;5;5.5;5;5.5;6;5;5;6;6;4;5;0;0;0;5;6.5;0;6;6.5;5.5;0;5.5;;;;;;;;;;;;;;;;5.75;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Hadjam Jaouen;DL;8;9;5.23;4.83;4.83;11;3;21;0.65;0.58;0.86;0;0;0;0.27;0.33;0.43;367;115;867;33.36;38.33;41.29;;;;1000;4.5;4.5;5.5;0;0;0;0;6;0;5.5;5;0;0;5;5;6.5;0;4.5;5.5;5;5.5;0;3;4;0;0;0;4;0;0;3;0;0;5;5;5;4.5;0;;;;;;;;;;;;;;;;4.75;Paris FC;Quevilly RM;sam. 28/01 19:00;50;0.52028;0.53199;
Monconduit Thomas;MD;11;15;5.22;4.5;5.27;9;2;26;0.94;0;0.87;0;0;1;0.67;0;0.77;572;38;1799;63.56;19;69.19;;1799;7;1000;4.5;4.5;0;0;0;0;6;4.5;4.5;6;5.5;7;4.5;0;0;0;0;0;0;6;5;4.5;5;3.5;0;5;6;4;6;5.5;4.5;6;5;5.5;0;6;5.5;0;;;;;;;;;;;;;;;;4.5;Saint-Étienne;Sochaux;sam. 28/01 15:00;50;0.40334;0.44172;
Rocchia Christopher;DL;3;5;5.22;5.75;5.19;9;2;13;0.75;1.06;0.97;0;0;0;1;1;1;718;166;1055;79.78;83;81.15;;;;1000;6.5;5;0;0;0;0;0;0;0;4.5;0;0;6;0;4.5;5;4.5;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;5.5;7;4.5;;;;;;;;;;;;;;;;0;Dijon FCO;Bordeaux;sam. 28/01 19:00;50;;0.02972;
