Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Lukaku Romelu;A;23;42;4.92;0;5.03;6;0;20;0.92;0;1.14;1;0;6;0.67;0;0.65;348;0;1236;58;0;61.8;348;206;6;23;0;0;4;5;0;0;0;4.5;0;0;0;0;0;0;0;0;4;6;6;0;4;7.5;0;5.5;6.5;0;4.5;0;4;0;4;4.5;4;5;5;3.5;0;6;2;;;;1;1;2;0.6341;109;;;35.29;2;;;0;Inter;Empoli;lun. 23/01 20:45;77.51937984;0.78839;0.77764;0.75498
Haas Nicolas;MD;11;11;4.92;0;4.92;13;0;13;0.73;0;0.73;1;0;1;0.69;0;0.69;775;0;775;59.62;0;59.62;775;775;6;11;0;5.5;0;0;0;4.5;5.5;0;4;6;5;4.5;5.5;4;4;6;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;;;6;0.7771;363;3;9;42.86;16;;;0;Empoli;Inter;lun. 23/01 20:45;10.1010101;0.37585;0.38653;0.39227
Di Francesco Federico;A;11;15;4.92;4.92;4.77;19;19;32;0.95;0.95;1.03;1;1;3;0.58;0.58;0.56;926;926;1474;48.74;48.74;46.06;926;491;5.5;11;4.5;6;5;7;5;7;4.5;4.5;4;4;5;4.5;5;3.5;4;5.5;4.5;4.5;5.5;4.5;0;4.5;4;4;0;3.5;4;5.5;4;0;4;4.5;0;4.5;0;0;4;8;1.5;;;;2;4;9;0.7049;403;6;9;39.58;23;;;5;Lecce;Salernitana;ven. 27/01 20:45;50;0.37604;0.36995;
Reca Arkadiusz;DL;11;12;4.9;5;4.78;15;4;30;0.87;1.47;0.84;1;0;1;0.87;1;0.9;1118;326;2223;74.53;81.5;74.1;1118;2223;6;11;3;6.5;5;5.5;0;6;5;5;4.5;0;0;0;4.5;4.5;4.5;4.5;5;4;6;0;5;4.5;4;0;5;5;5;3;5.5;5;6;5;3;0;4.5;5;0;4.5;3.5;;;;1;1;9;0.6796;717;12;14;47.06;14;;;4.75;Spezia;Bologna;ven. 27/01 18:30;50;0.34734;0.35155;
Hateboer Hans;DL;11;14;4.89;4.5;4.72;14;1;29;0.56;0;0.66;1;0;1;1;1;0.9;1183;90;2141;84.5;90;73.83;1183;2141;6;11;4.5;0;5;0;4;0;4.5;6;4;0;4.5;5.5;5;5;5;0;5.5;5;5;4.5;3.5;5;4;5;4;4.5;4.5;6.5;5;5;0;4.5;4.5;0;0;0;4.5;3.5;7;;;;;1;2;0.8191;712;12;11;45.05;15;;;5;Atalanta;Sampdoria;sam. 28/01 20:45;50;0.61511;0.62864;
Kallon Yayah;A;9;11;4.88;4.88;4.81;16;16;18;0.62;0.62;0.62;1;1;1;0.38;0.38;0.33;618;618;649;38.63;38.63;36.06;618;649;6;9;4.5;4.5;6;5.5;5;4.5;5.5;5;4;5;4.5;4.5;4;4.5;5;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4.5;0;0;0;0;0;0;0;1;;;;1;3;3;0.7067;293;8;6;41.3;11;;;4.5;Verona;Udinese;lun. 30/01 20:45;50;0.38976;0.3992;
Maldini Daniel;MO;9;14;4.86;4;4.75;7;1;10;0.63;0;0.54;1;0;1;0.14;0;0.1;229;45;253;32.71;45;25.3;229;253;6;9;4;0;0;4.5;0;4.5;6;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;0;0;0;0;4.5;4.5;;;;;;;1;0.7193;124;1;2;48.65;3;;;0;Spezia;Bologna;ven. 27/01 18:30;50;0.34734;0.35155;
Djidji Koffi;DC;10;11;4.85;4.7;4.86;17;5;28;0.86;0.97;0.77;1;0;1;0.88;0.8;0.79;1353;368;1995;79.59;73.6;71.25;1353;1995;6.5;10;6;3.5;5;5;4;0;4.5;6.5;0;4;5;3.5;5.5;4.5;5.5;4;5;5.5;5.5;0;5.5;5.5;5;4.5;0;0;0;0;5;5;4;5;3.5;0;0;0;5.5;5;3;;;;;;4;0.8436;950;25;12;50.93;17;;;5;Torino;Empoli;sam. 28/01 15:00;50;0.44904;0.47166;
Ceccherini Federico;DC;11;11;4.85;5;4.62;13;6;29;0.69;0.71;0.76;1;0;2;1;1;1;984;525;2243;75.69;87.5;77.34;984;1122;6;11;5.5;5;6;4.5;4;5;0;5;6;0;4.5;4;0;5;0;4.5;4;0;0;3.5;4;3;4.5;5;6;4.5;5.5;0;3.5;5;0;0;5;4;4.5;4;4;5;2.5;;;1;;;2;0.7467;573;10;14;53.47;25;;;4.5;Verona;Udinese;lun. 30/01 20:45;50;0.38976;0.3992;
Zirkzee Joshua;A;9;13;4.83;0;4.83;6;0;6;0.93;0;0.93;1;0;1;0.33;0;0.33;235;0;235;39.17;0;39.17;235;235;6;9;0;0;0;0;0;4.5;0;6;0;6;4;0;4.5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;1;1;2;0.8079;103;1;;35.71;;;;0;Bologna;Cremonese;lun. 23/01 18:30;52.08333333;0.46819;0.47112;0.46348
