Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j21;j20;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Casemiro;MD;17;26;5.94;0;5.89;16;0;31;1.11;0;1.09;2;0;3;0.75;0;0.84;1158;0;2230;72.38;0;71.94;579;743;7;8.5;0;6.5;7;5.5;8;6;4;6;7.5;6.5;5;7;4.5;0;6;5;5.5;5;0;0;0;4.5;7;0;5.5;5.5;0;0;7;6;3.5;5.5;7;4.5;7;6.5;0;6;6.5;;;;3;5;7;0.7694;1039;22;25;58.43;30;;;0;Man. United;Leeds;mer. 25/01 21:30;67.56756757;0.04227;0.19394;
Grealish Jack;MO;15;20;5.89;6.2;5.78;14;5;27;0.71;0.84;0.78;2;1;3;0.71;0.6;0.74;952;313;1891;68;62.6;70.04;476;630;6;7.5;7;6;6;5;7;0;5;6;5;0;0;5.5;6;7;5.5;0;0;0;0;5.5;6;0;7;7;7;6;5;5;5;0;5;6;0;0;0;5.5;5;5;6;;;;3;5;11;0.8926;668;4;6;56.67;9;;;0;Man. City;Arsenal;mer. 15/02 20:30;50;0.52998;0.59794;
Kulusevski Dejan;MO;15;20;5.79;0;5.46;12;0;34;1.18;0;1.88;2;0;8;0.83;0;0.74;882;0;2081;73.5;0;61.21;441;260;6;7.5;0;4.5;0;0;5;6;5.5;0;0;0;0;0;0;7;7;4.5;5;7;5;5;8;8;4.5;5;6.5;5;3.5;7.5;7;5.5;4.5;8;8;7.5;4.5;4.5;5;5.5;2;;;;5;5;5;0.7986;507;2;3;42.34;8;;;4.5;Tottenham;Fulham;lun. 23/01 21:00;46.94835681;0.2754;0.33793;
Willock Joe;MO;14;19;5.78;5.78;5.7;20;20;33;0.8;0.8;0.88;2;2;4;0.9;0.9;0.88;1496;1496;2485;74.8;74.8;75.3;748;621;7;7;5.5;5.5;5.5;5;6;7;7.5;6;5.5;5.5;5;6;7.5;5;0;5;5.5;5;5;6;6.5;0;0;0;4.5;6.5;5.5;0;3.5;5;0;5;7;7;6;6.5;5.5;0;9.5;;;;2;4;20;0.8273;828;13;19;41.36;23;;;3.5;Newcastle;West Ham;sam. 04/02 18:30;50;0.24747;0.34181;
Joelinton;MO;17;23;5.75;5.58;5.64;18;6;36;0.86;1.2;0.93;2;1;5;0.94;1;0.97;1509;540;2948;83.83;90;81.89;755;590;7;8.5;5;5.5;5;5;8;5;0;7;5;5.5;5.5;5;0;5.5;0;5.5;6;6.5;6;5.5;7;5;6;4;4.5;8;6;5.5;3.5;5.5;0;6;7;5.5;5.5;5.5;5.5;5.5;8;;;;1;4;7;0.8273;1026;24;33;45.9;31;;;2.75;Newcastle;West Ham;sam. 04/02 18:30;50;0.24747;0.34181;
Gabriel Magalhães;DC;23;29;5.68;5.68;5.53;19;19;39;0.79;0.79;0.97;2;2;5;1;1;1;1710;1710;3448;90;90;88.41;855;690;6;11.5;5;5.5;5.5;5;6;6;7;6;6;0;7;5.5;5;6;0;3.5;6;6;6;5;6;7;4.5;5.5;7;6;5.5;4;4.5;5.5;6;4.5;4;5;5.5;8;5;5;9.5;;;;;;2;0.8834;1401;19;19;60.27;12;;;4;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Bernardo Silva;MO;25;34;5.63;5;5.66;19;4;37;1.04;0.41;0.94;2;0;3;0.79;0.75;0.84;1328;249;2753;69.89;62.25;74.41;664;918;7;12.5;5.5;4.5;5;5;0;5;6;5;7;0;4.5;6;7;6;5;4;7.5;7;7;5;5;5.5;5.5;0;5;0;6.5;5.5;5;7;4;7.5;5.5;5;6;6;5.5;5;6;;;1;5;4;13;0.8915;1121;9;12;45.53;10;;;7;Man. City;Arsenal;mer. 15/02 20:30;50;0.52998;0.59794;
Saliba William;DC;15;25;5.63;5.63;5.41;19;19;38;0.86;0.86;0.96;2;2;2;1;1;1;1696;1696;3406;89.26;89.26;89.63;848;1703;7.5;7.5;5.5;6;5.5;5;5;5.5;6;6;5.5;0;5.5;5;6;7.5;0;4;5;6;7.5;4.5;6;0;3.5;6;3.5;7;6;4.5;6;5;5;6;5.5;5;4;6;5;6;8.5;;;;1;1;1;0.9111;1383;15;13;64.22;14;;;0;Arsenal;Man. City;mer. 15/02 20:30;50;0.72194;0.6834;
Andreas Pereira;MO;16;21;5.6;0;5.6;20;0;20;0.93;0;0.93;2;0;2;1;0;1;1650;0;1650;82.5;0;82.5;825;825;5.5;8;0;5;5.5;5;7;5;6;5.5;7;7;5.5;5.5;3.5;6;6;4.5;6;5;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;1;;;5;5;21;0.7098;857;4;6;34.27;24;;;4.5;Fulham;Tottenham;lun. 23/01 21:00;30.76923077;0.32597;0.34784;
Olise Michael;MO;15;17;5.55;5.55;5.59;19;19;32;1.22;1.22;1.13;2;2;3;0.68;0.68;0.69;1204;1204;1979;63.37;63.37;61.84;602;660;7;7.5;5;5.5;3;8;4;5;7;6.5;5;6.5;4.5;7;5.5;0;7;5.5;6;5;5;4.5;0;0;0;6;5;5.5;0;0;0;4;5;6;7;6;5;0;6;5;3;;1;1;4;3;17;0.7065;891;6;16;50.62;13;;;5;Crystal Palace;Brighton;mer. 25/01 21:30;50;0.40524;0.43195;
