Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Jubal;DC;11;14;4.66;4.66;5.06;19;19;36;1.25;1.25;1.03;1;1;1;0.95;0.95;0.97;1641;1641;3142;86.37;86.37;87.28;1641;3142;6.5;11;5;2.5;4.5;4;3;5.5;6;4.5;5;6.5;6.5;3.5;3;4;5;6;5.5;5.5;3;0;4.5;5.5;6;5;5.5;5.5;5.5;5.5;6;5.5;6;6;6;5;5.5;5.5;5;0;2;;;;1;1;2;0.8354;930;28;9;57.63;19;;;5.5;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;Sursis
Ajorque Ludovic;A;19;26;4.65;0;4.81;13;0;32;0.69;0;0.92;1;0;4;0.69;0;0.75;771;0;2169;59.31;0;67.78;771;542;6;19;0;6;4;5;4.5;4;4.5;0;0;0;0;0;4.5;6;4;4.5;5;4;4.5;3.5;4.5;4.5;4;5;7.5;4.5;6;6;4;4.5;5;5;5;4.5;4.5;3.5;0;7;;1;;;;2;3;0.7101;354;2;4;50.39;14;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Fadiga Noah;DL;9;11;4.65;4.55;4.65;13;10;13;0.47;0.44;0.47;1;1;1;0.92;0.9;0.92;892;748;892;68.62;74.8;68.62;892;892;4;9;4.5;5;4.5;4;4.5;5;5;5;4;4;0;5;5.5;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;2;0.7459;567;15;11;50.54;14;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Viti Mattia;DC;7;10;4.64;0;4.92;7;0;19;0.9;0;0.69;1;0;1;1;0;0.84;602;0;1476;86;0;77.68;602;1476;6;7;0;0;0;0;0;0;0;4;4.5;6;4;0;0;5;5.5;3.5;0;0;0;6;0;0;4.5;4.5;0;5.5;5;5.5;0;0;0;5.5;4.5;5.5;5;0;4.5;5;;;;;;;;0.8513;419;8;2;56.82;3;;;5.5;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Virginius Alan;A;8;8;4.63;6;4.88;8;1;26;0.64;0;0.88;1;1;4;0.13;0;0.23;174;23;779;21.75;23;29.96;174;195;6;8;6;0;4;5;0;4.5;0;0;0;0;0;4.5;4.5;0;4;0;4.5;0;0;4.5;4.5;4;4.5;4.5;7;4.5;4.5;4.5;4.5;5;7;0;4;6;5;5;6.5;4.5;1;;;;;;1;0.7641;81;1;;14.29;4;;;4,00;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Boadu Myron;A;6;7;4.63;4.17;4.69;4;3;18;0.95;0.29;0.77;1;0;4;0;0;0.06;54;37;346;13.5;12.33;19.22;54;87;6;6;4.5;4;4;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4.5;4.5;5;4.5;6;4;6;4;6;4;4.5;4.5;0;0;0;0;0;0;4;;;;;;;;0.1667;15;;;26.67;3;;;4.5;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Salmier Yoann;DC;12;12;4.62;4.81;4.85;17;8;30;0.96;1;1.04;1;0;1;1;1;0.97;1431;718;2494;84.18;89.75;83.13;1431;2494;6;12;3;4;6;6;5;5;4.5;5;0;4;4.5;5;0;3.5;6;5.5;3;4;4.5;4.5;3.5;5;0;0;0;0;4.5;6;7;6;6;6;4;3.5;5.5;0;5.5;0;0.5;;;;;;1;0.8378;943;22;13;64.91;14;;;3.5;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Ugbo Iké;A;9;12;4.57;0;4.68;14;0;28;0.73;0;0.92;1;0;6;0.36;0;0.57;399;0;1220;28.5;0;43.57;399;203;6;9;0;0;4;0;4;4.5;5;4.5;0;5.5;4;4.5;4.5;6.5;4.5;4.5;3.5;4.5;0;4.5;4;6;6;4.5;4;4;6;0;4.5;6.5;4;4;6;3;0;0;0;0;;;;;1;1;2;0.525;96;1;1;27.27;3;;;4.25;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Jeanvier Julian;DC;9;10;4.46;4.44;4.46;13;9;13;1.33;1.36;1.33;1;0;1;1;1;1;1085;808;1085;83.46;89.78;83.46;1085;1085;6;9;6;3;4;4;2;5.5;6;4.5;5;0;3.5;0;0;0;0;0;5.5;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;;;0.87;605;15;11;48.65;17;;;5.5;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Diony Lois;A;1;3;4.44;0;4.44;8;0;8;0.94;0;0.94;1;0;1;0.63;0;0.63;437;0;437;54.63;0;54.63;437;437;6;1;0;0;0;0;0;0;0;0;0;0;0;4;4.5;3;4;5.5;4;6;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;;;;;;3;0.6855;172;;;36.76;10;;;4,00;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;† ACL
Sima Abdallah;A;11;11;4.41;4.41;4.41;16;16;16;0.55;0.55;0.55;1;1;1;0.56;0.56;0.56;844;844;844;52.75;52.75;52.75;844;844;5;11;4;3.5;5;5.5;4;4.5;4;4.5;5;4;3.5;5;4.5;4.5;4.5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;;;3;6;0.8058;290;2;4;45.28;16;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Dari Achraf;DC;6;9;4.4;0;4.4;10;0;10;1.51;0;1.51;1;0;1;0.8;0;0.8;719;0;719;71.9;0;71.9;719;719;6.5;6;0;0;0;0;0;0;0;0;2;4;0;4.5;5;4;4.5;2;6.5;5.5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.8107;505;11;9;59.02;6;;;6.5;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Slimani Islam;A;10;13;4.2;4.3;4.25;15;5;16;0.84;0.45;0.84;1;0;1;0.73;0.4;0.69;964;211;977;64.27;42.2;61.06;964;977;6;10;4;4;4;4.5;5;0;4.5;4.5;3;3.5;6;3.5;3;5.5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;;;;1;2;7;0.7095;502;1;3;38.05;18;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;Sursis
