Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j19;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J;Dispo@MPGLaurent?
Yade Papa Ndiaga;MO;5;7;5.19;0;5;8;0;21;0.7;0;0.77;0;0;0;0.38;0;0.29;317;0;769;39.63;0;36.62;;;;1000;0;0;0;0;0;0;0;5;5.5;4.5;0;4.5;4.5;5.5;5.5;6.5;0;0;0;0;0;6.5;0;0;0;5.5;4.5;5;4;5;4.5;0;0;0;0;3.5;6;4.5;;;;;1;2;6;0.7357;244;7;4;44.44;7;;;4.5;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Bizot Marco;G;15;16;5.19;5.83;5.3;18;6;37;1.31;1.03;1.42;0;0;0;1;1;1;1620;540;3330;90;90;90;;;;1000;6;6.5;6;4;5.5;7;0;6;4;5.5;5;5;5.5;5.5;5.5;1;6;5;4.5;2.5;4.5;6;8.5;5.5;6;4.5;5.5;5;5.5;3;7;7;4.5;5;6;7.5;6;3;1;;;;;;;;;;;;;41;21;5.75;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Agbadou Emmanuel;DC;13;13;5.19;5.75;5.19;16;6;16;1.06;0.99;1.06;0;0;0;0.94;1;0.94;1329;540;1329;83.06;90;83.06;;;;1000;6;6;4;6;5.5;7;0;0;5.5;6;5;3.5;5;6.5;5;4.5;0;3.5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;;;;1;2;1;0.8312;896;15;26;56.92;16;;;6,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Magnin Yohann;MD;12;12;5.18;5.18;5.03;19;19;38;0.63;0.63;0.72;0;0;0;0.74;0.74;0.76;1299;1299;2641;68.37;68.37;69.5;;;;1000;5.5;5;5.5;4.5;5.5;5;5;3.5;5.5;6;5;5.5;6.5;5.5;4.5;5;5;5.5;5;5;4.5;5;4;4.5;6;5.5;3.5;4.5;5.5;4;4.5;5;6;5;6;5.5;3.5;0;1.5;;;;;3;3;0.8257;919;18;29;53.14;22;;;4.75;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Truffert Adrien;DL;13;15;5.18;5.18;5.04;19;19;38;0.77;0.77;0.74;0;0;1;0.84;0.84;0.74;1331;1331;2410;70.05;70.05;63.42;;2410;7;1000;6.5;4.5;5;4;5;5;5;5;5.5;5;7;5;6;4.5;6;5;5.5;5;4;5;6;4;5;5;4;5;4;4.5;0;4.5;5;5;5;5;5;4.5;7;4.5;6;;;;5;3;4;0.8113;1168;19;22;61.01;11;;;4.5;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Ugochukwu Lesley;MD;9;10;5.18;5.5;5.03;11;2;18;0.84;0.71;0.7;0;0;0;0.64;1;0.39;725;180;773;65.91;90;42.94;;;;1000;6;5;0;4.5;5;5.5;5;0;0;4.5;6;5.5;6.5;0;0;0;3.5;0;0;5;5;4.5;0;5;0;0;5;0;4.5;0;0;0;0;0;0;4.5;0;0;4;;;;;;2;0.7997;473;9;12;61.11;13;;;5,00;Rennes;FC Lorient;ven. 27/01 21:00;50;0.61516;0.64509;;
Ounahi Azzedine;MD;12;15;5.17;5;4.9;15;1;30;0.9;0;0.84;0;0;0;0.87;0;0.7;1134;30;1900;75.6;30;63.33;;;;1000;5;0;0;0;0;5;5;5.5;5.5;4.5;4;7;6.5;3.5;4.5;5.5;5;5;6;5.5;5;5;4;5;3.5;6;5;4.5;0;0;4.5;5;5;4;3.5;0;0;0;1.5;;;;;3;8;0.8789;877;15;8;53.8;11;;;5,00;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Bitshiabu El Chadaille;DC;6;6;5.17;0;5.13;3;0;4;0.29;0;0.25;0;0;0;0.33;0;0.25;90;0;94;30;0;23.5;;;;1000;0;5.5;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.971;109;2;3;75;;;;0;Paris SG;Reims;dim. 29/01 20:45;50;0.78322;0.80856;;
Nicolaisen Rasmus;DC;11;12;5.17;5;5.36;18;6;36;1.24;1.67;1.15;0;0;2;1;1;1;1556;540;3131;86.44;90;86.97;;1566;7;1000;6;6;6;2;6;4;0;4.5;4.5;5;6;4.5;7.5;5;6;3.5;5.5;6;5;5;5;3.5;6;6;6.5;5.5;4.5;6;6;3.5;6;0;7.5;5;7;5;6;6;4;;;;2;2;2;0.8128;1132;32;14;75.61;13;;;4.5;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;Sursis
Vanderson;DL;13;15;5.17;5.37;5.19;18;15;35;1.12;0.99;0.97;0;0;2;0.67;0.67;0.69;1119;948;2241;62.17;63.2;64.03;;1121;6;1000;6.5;4.5;5.5;5.5;5;6;6.5;3;5;6;5;5.5;7;5;4.5;0;2.5;5;5;5;4;5;0;5.5;6;7;5.5;4;0;5;6;4.5;6;5;4.5;6;5;4.5;6;;;;2;4;11;0.8245;987;28;19;51.72;20;;;5.5;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;
Caufriez Maximiliano;DC;11;13;5.17;5.25;5.17;12;2;12;0.69;0.35;0.69;0;0;0;1;1;1;1059;180;1059;88.25;90;88.25;;;;1000;5;5.5;0;5.5;4.5;0;5.5;4;5.5;5.5;6;4;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;;;;;;;0.8715;660;21;8;56.76;15;;;5.5;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;
Koné Youssouf;DL;9;9;5.14;0;5.06;7;0;16;0.56;0;0.54;0;0;0;1;0;0.75;524;0;959;74.86;0;59.94;;;;1000;0;0;5;0;4.5;5;4.5;5.5;6;5.5;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;4.5;0;5;5.5;0;4;6;0;5;0;0;0;0;1;;;;;;;0.7789;300;8;13;60.78;7;;;0;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Reine-Adélaïde Jeff;MO;9;11;5.14;5;5.17;14;3;24;0.36;0;0.38;0;0;0;0.07;0;0.08;324;20;516;23.14;6.67;21.5;;;;1000;5;5;5;0;0;5;5.5;5;4.5;6;5;5;5.5;5.5;0;5;5;0;0;6;0;4.5;5;5.5;5;5.5;5;0;5;5.5;5;0;0;0;0;0;0;0;;;;;;1;4;0.9114;403;6;5;47.27;7;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Camara Mahdi;MD;10;11;5.14;5.35;5.19;14;10;35;0.6;0.53;0.91;0;0;3;0.79;0.9;0.91;895;717;2764;63.93;71.7;78.97;;921;7;1000;6;5.5;5.5;4.5;5.5;5;5.5;6;4.5;5.5;0;4.5;5;0;5;4;0;0;0;5.5;4.5;5.5;6;4;4;7;0;4;6;6;5.5;3.5;5.5;7;0;5.5;5;0;1;;;;;;6;0.842;506;17;15;55.43;12;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Gelson Martins;MO;7;7;5.14;0;5.25;7;0;22;0.48;0;0.63;0;0;1;0.29;0;0.55;234;0;1014;33.43;0;46.09;;1014;7;1000;0;5;5;4.5;0;0;0;0;0;0;0;5.5;5;0;0;0;0;5;6;0;5;0;0;5;4.5;0;0;4.5;5;5.5;7;5;6;5.5;5;4.5;6;6;;;;;;;;0.7202;157;;6;46.15;5;;;7,00;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;† Incertain
Bryan Joe;DL;6;7;5.1;0;5.1;5;0;5;0.22;0;0.22;0;0;0;0.4;0;0.4;165;0;165;33;0;33;;;;1000;0;0;0;0;0;5;5;5;0;5.5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;2;0.6117;119;1;4;50;3;;;0;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Leroy Léo;MO;12;12;5.08;5.4;4.87;13;5;27;0.49;0.65;0.45;0;0;0;0.46;1;0.41;531;369;976;40.85;73.8;36.15;;;;1000;5;4.5;5.5;6;6;0;5;0;0;0;5;0;4.5;5;5;5;0;4.5;5;0;5;4.5;4.5;5;4.5;4.5;5.5;4.5;5;0;4.5;4.5;4.5;0;4.5;0;4.5;0;1;;;;;1;2;0.7392;342;5;20;53.54;16;;;0;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Pierre-Gabriel Ronaël;DL;9;10;5.07;0;4.92;14;0;26;0.65;0;0.93;0;0;0;0.5;0;0.69;650;0;1635;46.43;0;62.88;;;;1000;0;0;5;0;5;3.5;5;6;4.5;5;0;6;5;5.5;5.5;5.5;5;0;4.5;4;3;4.5;7;0;5;4;0;0;0;0;0;0;5;6;3;6;5;4.5;;;;;1;2;5;0.8151;495;9;18;61.9;12;;;6,00;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Zeneli Arbër;MO;11;11;5.07;5.3;5.27;15;10;24;0.75;0.79;0.77;0;0;2;0.73;0.8;0.63;847;620;1256;56.47;62;52.33;;628;5.5;1000;4.5;5;4.5;6;6;5;5;7;5;5;0;5;4.5;0;5;0;4.5;0;4;4.5;0;5.5;6;5.5;5;5.5;0;0;0;5.5;7;6;0;0;0;0;0;0;4.5;;;;2;4;8;0.7784;523;2;2;33.98;7;;;5,00;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Boura Ismaël;DL;7;7;5.07;0;4.88;7;0;16;0.19;0;0.96;0;0;0;0;0;0.56;62;0;764;8.86;0;47.75;;;;1000;0;0;0;0;5;5;5;5;0;5;0;5;0;5.5;0;0;0;0;0;0;0;0;0;0;0;5;0;4;0;0;6.5;5.5;3;3;5.5;6;4;0;;;;;;1;;0.7558;68;2;1;69.23;;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Corchia Sébastien;DL;11;11;5.06;5.09;4.95;17;16;33;0.56;0.55;0.59;0;0;0;0.18;0.19;0.3;513;501;1260;30.18;31.31;38.18;;;;1000;7;5;5;5.5;5;5;5;5;5;5;4.5;5;5;4.5;5;5;0;0;4.5;0;4.5;4;5;4.5;3.5;5.5;6;5;0;0;5;4;5;0;5;5;5;5;1.5;;;;1;;5;0.6685;345;6;5;55.74;10;;;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Sarr Malang;DC;8;8;5.06;5;4.91;9;1;16;0.39;0;0.84;0;0;0;0.44;0;0.56;351;19;807;39;19;50.44;;;;1000;5;0;5;5;0;0;5;0;0;0;5;0;5;6;4.5;0;5;0;0;5;0;5;0;0;0;0;0;0;5;0;0;5;2;0;5.5;5.5;0;0;1;;;;;;;0.771;290;9;2;46.67;6;;;0;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;Sursis (2sem.)
Moutoussamy Samuel;MD;11;11;5.06;5.5;5.03;16;1;30;0.57;0;0.61;0;0;0;0.69;0;0.73;967;30;1871;60.44;30;62.37;;;;1000;5.5;0;5.5;5;5;4.5;5;5.5;5.5;3.5;0;6;0;5;5.5;5;5;4.5;5;4.5;0;5;4;5.5;4;0;0;0;4.5;5.5;5.5;5.5;0;0;5.5;6;4;5.5;2.5;;;;1;;2;0.8299;556;11;15;45.63;14;;;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
El Melali Farid;MO;10;10;5.06;5.06;5.12;9;9;25;0.53;0.53;0.77;0;0;1;0.56;0.56;0.56;400;400;1119;44.44;44.44;44.76;;1119;6;1000;5;5;5;5.5;6;4;5;5;5;0;0;0;0;0;0;0;0;0;0;7.5;5.5;5;4.5;3.5;5;5.5;5.5;5.5;0;4;6;4.5;0;5;5;5.5;5;0;2;;;;;;4;0.7231;253;4;11;52.11;9;;;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;
Genreau Denis;MO;5;;5.06;0;5.38;8;0;25;0.32;0;0.74;0;0;2;0;0;0.44;88;0;1111;11;0;44.44;;556;6.5;1000;0;0;0;0;0;0;0;5;5;5.5;4.5;0;5;0;0;0;5.5;5;5;0;6.5;5;5.5;5;5;5.5;4.5;5.5;7;5;5;0;6;6;5;5.5;4.5;7.5;;;;;;;1;0.4652;73;2;4;50;3;;;5,00;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;† Reprise
Onana Jean;MD;11;11;5.05;0;4.92;10;0;26;0.44;0;0.95;0;0;1;0.4;0;0.69;292;0;1428;29.2;0;54.92;;1428;6;1000;0;4.5;5;5;5;4.5;5.5;5.5;4.5;0;5.5;0;0;5.5;0;0;0;0;0;0;0;3;4.5;4.5;6;2.5;6;5;0;3.5;4.5;5.5;7;6;0;0;0;0;;;;;;;1;0.7974;215;5;5;61.76;2;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Wieteska Mateusz;DC;12;13;5.05;5.05;5.05;19;19;19;1.05;1.05;1.05;0;0;0;1;1;1;1709;1709;1709;89.95;89.95;89.95;;;;1000;5.5;5;5.5;4;5;6;5.5;4;5;5.5;6.5;3;4.5;6;5;4.5;5.5;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;;;;1;1;1;0.8185;1099;29;16;66.09;11;;;5.5;Clermont;FC Nantes;dim. 29/01 15:00;50;0.42058;0.41947;;Sursis
André Gomes;MD;11;13;5.04;0;4.72;12;0;20;0.66;0;0.72;0;0;0;0.58;0;0.6;649;0;1017;54.08;0;50.85;;;;1000;0;5;5;5.5;0;5.5;4;5;6;5;6;4;4.5;5;0;0;0;0;0;0;4.5;0;0;0;4;0;0;0;0;0;0;3.5;0;4;4;4;5;5;3;;;;;;3;0.8571;609;4;10;39.6;23;;;0;LOSC;OGC Nice;dim. 29/01 13:00;50;0.60094;0.61564;;
Bruus Andreas;DL;10;10;5.04;5.17;5.04;13;6;13;0.52;0.41;0.52;0;0;0;0.69;0.83;0.69;839;425;839;64.54;70.83;64.54;;;;1000;5;4.5;5.5;5.5;5.5;5;0;5;5;4.5;6;5;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;;;;1;1;5;0.6904;412;10;2;45.24;4;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;
Ferri Jordan;MD;13;15;5.03;5.06;5;17;8;34;1.33;1.47;1.24;0;0;0;1;1;0.97;1425;689;2863;83.82;86.13;84.21;;;;1000;4;2.5;4.5;6.5;5.5;4.5;6;7;0;4.5;4;6;4.5;4.5;6.5;7;5;3;0;4.5;3.5;0;0;4;4.5;7;3.5;5.5;7;6;3.5;4;6;4.5;5;5;4.5;0;3;;;;2;4;5;0.8452;1216;9;18;48.57;22;;;5,00;Montpellier;AJ Auxerre;dim. 29/01 15:00;50;0.40248;0.37552;;
Leroy Benjamin;G;14;15;5.03;4.85;5.13;18;10;34;1.23;1.43;1.1;0;0;0;1;1;1;1539;900;2845;85.5;90;83.68;;;;1000;2;4.5;4;7.5;5;5;6;4;5;5.5;0;5;5;5.5;4.5;3.5;6;6.5;6;0;0;4.5;6;4.5;6;5;6;6;5.5;4;6;5;0;5.5;3.5;4;5.5;7;2;;;;;;;;;;;;;27;15;6,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Cabot Jimmy;MO;1;1;5;0;4.83;11;0;15;0.63;0;0.7;0;0;0;0.45;0;0.6;507;0;751;46.09;0;50.07;;;;1000;0;0;0;0;0;0;0;0;5.5;4.5;5;6.5;4.5;5;4.5;4.5;5.5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;3.5;0;5;0;3.5;;;;1;3;6;0.8121;463;4;12;43.37;14;;;4.5;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;† ACL
Capelle Pierrick;MO;12;12;5;5;4.97;15;3;29;0.73;1.5;0.72;0;0;0;0.6;1;0.55;799;221;1385;53.27;73.67;47.76;;;;1000;3.5;5;6.5;0;6;5;4.5;5;5.5;0;5;5;0;5;0;4;5;4.5;5.5;6;0;0;0;5;4.5;5.5;4.5;5;6.5;5;4.5;5;0;4.5;5;0;4.5;0;0.5;;;;2;2;7;0.8455;540;11;15;40.38;19;;;5.75;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;Suspendu
Marchetti Vincent;MD;12;12;5;0;5.06;18;0;33;0.8;0;0.77;0;0;1;0.94;0;0.91;1462;0;2611;81.22;0;79.12;;2611;7;1000;0;5;4.5;5.5;6;6;4;4.5;4.5;7;4;5;4.5;5;4.5;5;4;5.5;5.5;6;5;5.5;4.5;7;5.5;5.5;5;0;0;4;5;4.5;5;4.5;0;0;4.5;5.5;3.5;;;;1;1;5;0.803;910;12;19;50;18;;;5.5;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;
Steven Fortès;DC;1;2;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;6;0;6;6;0;6;;;;1000;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.3333;3;;;50;;;;0;RC Lens;Troyes;sam. 28/01 17:00;50;0.62931;0.61914;;
Bulka Marcin;G;7;7;5;0;5.33;2;0;3;0;0;0.58;0;0;0;1;0;1;180;0;270;90;0;90;;;;1000;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;;;;;;;;;;;;;;4;;0;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;† Epaule
Hérelle Christophe;DC;8;8;5;5.2;4.96;9;5;24;0.75;0.57;1.02;0;0;0;0.78;0.6;0.92;623;307;1922;69.22;61.4;80.08;;;;1000;5.5;6;4.5;5;5;0;0;0;0;0;4;0;5;6;0;0;0;0;4;2;4;4.5;6.5;6;0;5;5;7;5;0;5.5;5;5.5;0;4;0;4.5;4.5;1.5;;;;;;1;0.8613;329;11;4;59.52;7;;;5,00;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Moreno Marlos;MO;1;1;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;3;0;3;3;0;3;;;;1000;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;3;;;100;;;;0;Troyes;RC Lens;sam. 28/01 17:00;50;0.41205;0.37962;;🏠Hors groupe
Faivre Romain;MO;16;19;5;0;5.31;10;0;27;0.78;0;0.94;0;0;3;0.3;0;0.56;294;0;1451;29.4;0;53.74;;484;7;1000;0;0;5;4.5;4.5;0;4.5;0;4.5;0;0;0;5;7;5.5;0;5;4.5;0;6;5.5;5;5;0;4.5;7;5;5.5;0;5;8.5;5.5;5;6;4.5;5.5;4.5;5.5;2;;;;1;1;4;0.9009;228;;3;34.09;7;;;0;OL;AC Ajaccio;dim. 29/01 17:05;50;0.61889;0.62095;;
Guitane Rafik;MO;1;1;5;0;5;1;0;1;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;;;;1000;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;3;;;;1;;;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Sissoko Ibrahima;MD;9;9;5;5.25;5.1;9;4;29;0.56;0.29;0.79;0;0;1;0.33;0;0.55;320;95;1529;35.56;23.75;52.72;;1529;6;1000;5.5;5;5.5;5;0;0;0;0;5.5;4.5;4;5.5;4.5;0;0;0;0;0;0;4;5;5;5;4.5;4.5;4.5;6;4.5;5.5;6;5;5;5;5.5;6;3;7;6;1;;;;;;3;0.7603;201;1;5;40.38;12;;;0;Strasbourg;Toulouse FC;dim. 29/01 15:00;50;0.49417;0.48132;;
Jean Lucas;MD;3;4;5;0;5.12;6;0;21;0.55;0;0.82;0;0;1;0.5;0;0.57;289;0;1027;48.17;0;48.9;;1027;6.5;1000;0;0;0;0;0;0;0;5;0;0;0;0;0;0;5;5;4;5.5;5.5;0;5;5;5;0;0;0;5;5;6.5;4;5;5;3.5;5.5;6.5;4.5;7;0;;;;;;;1;0.8392;206;4;5;51.11;4;;;5,00;AS Monaco;OM;sam. 28/01 21:00;50;0.64699;0.64421;;🏠Hors groupe (2sem.)
Castelletto Jean-Charles;DC;13;14;5;5.42;5.07;17;6;30;0.98;0.49;0.9;0;0;0;0.88;1;0.93;1289;540;2455;75.82;90;81.83;;;;1000;5.5;5.5;6;4.5;5.5;5.5;0;4;5;3;3.5;6;3.5;5.5;6;6;4.5;5.5;0;5;5;6;0;4.5;0;4.5;4.5;5;3.5;5;6;0;6;6;0;0;0;0;4.5;;;;;;;0.7457;871;30;14;67.69;12;;;5,00;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;
Fofana Yahia;G;7;13;5;0;5;8;0;24;1.16;0;1.18;0;0;0;1;0;1;720;0;2110;90;0;87.92;;;;1000;0;0;0;0;5;4.5;6.5;0;4;4;4;7;5;0;0;0;0;0;0;0;5.5;5.5;5;0;6;7;4;4.5;4.5;4.5;6;6;3;2.5;6;6;4;0;1;;;;;;;;;;;;;17;9;0;Angers SCO;Brest;dim. 29/01 15:00;50;0.36549;0.31823;;† Reprise
Laporte Julien;DC;10;12;5;0;4.94;16;0;31;0.97;0;1.21;0;0;0;1;0;1;1431;0;2781;89.44;0;89.71;;;;1000;0;0;0;4.5;5;4.5;5;4;5.5;5.5;5.5;5.5;4.5;6;2.5;6;4;6;6;0;6;3.5;5.5;2;6;0;4.5;2.5;6;6;0;5.5;4.5;6.5;0;3;6;0;3.5;;;;;;;0.8517;880;17;13;63.92;9;;;4,00;FC Lorient;Rennes;ven. 27/01 21:00;50;0.45225;0.45573;;
Boto Kenji-Van;DL;1;1;5;0;4.74;1;0;17;0;0;0.79;0;0;0;1;0;1;90;0;1463;90;0;86.06;;;;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;4.5;3.5;4;4.5;5;5.5;0;5;6;4;5;5;6;3;4.5;5;;;;;;;;0.8077;37;1;1;60;1;;;5,00;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
Beka Beka Alexis;MO;4;6;5;0;5;8;0;8;0.38;0;0.38;0;0;0;0.38;0;0.38;275;0;275;34.38;0;34.38;;;;1000;0;0;0;0;0;0;0;0;5;0;4.5;5;5;4.5;5;5.5;0;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;1;0.7669;223;7;4;41.46;8;;;5,00;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
Sinayoko Lassine;A;12;14;5;5.09;5.14;18;16;33;0.91;0.88;0.93;0;0;2;0.72;0.75;0.64;1108;1037;1889;61.56;64.81;57.24;;945;6.5;1000;4.5;3.5;5;6;5.5;6.5;6;5;6;4.5;6;4;4;4.5;5;5.5;0;3.5;5;6;6.5;4.5;6.5;4.5;7;5;0;4;5.5;4.5;5;0;4.5;4.5;6.5;5;0;0;2;;;;2;1;9;0.7575;607;10;12;45.03;18;;;0;AJ Auxerre;Montpellier;dim. 29/01 15:00;50;0.36653;0.3581;;
De Smet Thibault;DL;9;9;5;0;5;5;0;5;0.35;0;0.35;0;0;0;1;0;1;438;0;438;87.6;0;87.6;;;;1000;0;4.5;5;5;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;;;1;;;0.7051;314;7;8;52.5;5;;;0;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Cimignani Yanis;MO;5;;5;0;5.23;8;0;24;0.46;0;0.71;0;0;0;0.38;0;0.58;275;0;1168;34.38;0;48.67;;;;1000;0;0;0;0;0;0;0;0;5;0;5;6;0;4.5;4.5;0;5;5;5;5.5;0;5.5;5;5;6;5;4.5;6.5;0;3.5;5;0;5.5;5.5;5.5;5;5.5;7;1;;;;;;2;0.7097;159;2;5;35.71;5;;;5,00;AC Ajaccio;OL;dim. 29/01 17:05;50;0.3532;0.33573;;🏠Ecarté (2sem.)
Lopy Dion;MD;10;;5;5;5.02;14;1;30;0.65;0;0.69;0;0;0;0.57;0;0.67;640;9;1719;45.71;9;57.3;;;;1000;5;0;5;5;0;5;5.5;5.5;3;5;0;5.5;5;5.5;0;5;5.5;4.5;0;4;5;4;6;5.5;5;6;4;5.5;5.5;0;5;5;6;0;0;4;4.5;0;2;;;;;1;2;0.8053;412;13;9;43.48;16;;;4.5;Reims;Paris SG;dim. 29/01 20:45;50;0.49646;0.48842;;
Skyttä Naatan;MO;1;1;5;5;4.78;2;2;9;0;0;0.36;0;0;0;0;0;0.11;21;21;140;10.5;10.5;15.56;;;;1000;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4.5;0;5;0;0;0;0;0;0;0;0;0;5;0;0;5;5;4.5;;;;;;;;0.6072;16;1;1;66.67;;;;0;Toulouse FC;Strasbourg;dim. 29/01 15:00;50;0.40019;0.41164;;
Merlin Quentin;MD;11;13;5;0;5.16;16;0;35;0.73;0;0.7;0;0;2;0.94;0;0.91;1270;0;2782;79.38;0;79.49;;1391;6;1000;0;5.5;5;6.5;4.5;5.5;5;5;5.5;4;3.5;6;4.5;0;0;5;4.5;5;5;5;6;4.5;5.5;4.5;4.5;5.5;5;6;4.5;5;6;0;7;5.5;5;5;6;5;3.5;;;;1;4;10;0.7692;1078;19;12;55.34;7;;;5.5;FC Nantes;Clermont;dim. 29/01 15:00;50;0.41769;0.45199;;† Adducteurs (2sem.)
Arconte Taïryk;A;3;3;5;0;4.82;1;0;11;0;0;0.64;0;0;1;0;0;0.09;25;0;292;25;0;26.55;;292;6;1000;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4.5;0;6;0;0;0;0;0;4;4.5;4.5;4.5;4.5;4.5;5;0;;;;;;;;1;3;;;;;;;0;Brest;Angers SCO;dim. 29/01 15:00;50;0.35544;0.38726;;
Mendy Antoine;DL;4;4;5;5;5;3;1;3;0;0;0;0;0;0;0;0;0;11;1;11;3.67;1;3.67;;;;1000;5;0;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;0.3889;15;1;;;;;;0;OGC Nice;LOSC;dim. 29/01 13:00;50;0.52477;0.53303;;
