Joueur;Poste;Cote;Enchère moy;Note;Note série;Note 1 an;Nb match;Nb match série;Nb match 1 an;Variation;Var série;Var 1 an;But;Buts série;Buts 1 an;%Titu;%Titu série;%Titu 1 an;Temps;Tps série;Tps 1 an;Tps moy;Tps moy série;Tps moy 1 an;Min/But;Min/But 1 an;Min note/but;Prix/but;j18;j17;j16;j15;j14;j13;j12;j11;j10;j9;j8;j7;j6;j5;j4;j3;j2;j1;j38;j37;j36;j35;j34;j33;j32;j31;j30;j29;j28;j27;j26;j25;j24;j23;j22;j21;j20;j19;Cleansheet;But/Peno;But/Coup-franc;But/surface;Pass decis.;Occas° créée;Corner gagné;%Passes;Ballons;Interceptions;Tacles;%Duel;Fautes;But évité;Action stoppée;DMI;Club;Prochain opposant;Date;Victoire probable;%Win+12J;%Win+16J;%Win+20J
Ezzalzouli Abdessamad;A;10;11;4.92;4.38;4.88;12;4;13;0.76;0.63;0.74;0;0;0;0.5;0.5;0.54;467;154;538;38.92;38.5;41.38;;;;1000;4.5;5;3.5;4.5;0;0;0;5;6.5;4.5;5;4.5;5;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.5;0;0;0;2;;;;2;1;10;0.7626;309;2;9;46.67;11;;;0;Osasuna;Atlético;dim. 29/01 16:15;50;0.47131;;0.09479
Pablo Ibáñez Pablo;MD;4;7;4.92;4.5;4.92;6;1;6;0.2;0;0.2;0;0;0;0.17;1;0.17;99;65;99;16.5;65;16.5;;;;1000;4.5;0;5;0;0;0;0;5;0;0;0;0;0;5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;0.6984;72;1;;57.14;2;;;0;Osasuna;Atlético;dim. 29/01 16:15;50;0.47131;;0.09479
Ruibal Aitor;MO;9;9;4.91;5;4.86;16;5;25;0.52;0.61;0.67;0;0;0;0.44;0.6;0.4;743;251;1100;46.44;50.2;44;;;;1000;6;0;5;4.5;4.5;5;0;5.5;4.5;4.5;4.5;5;4.5;4.5;4.5;5;5;6;0;0;0;0;4.5;0;4.5;0;7;0;5;4;5;0;4.5;4.5;0;0;4;0;2.5;;;;;3;3;0.7785;556;15;12;48.54;14;;;0;Betis;Barcelona;mer. 01/02 21:00;50;0.40374;0.42821;0.47554
Akieme Sergio;DL;10;11;4.91;0;4.91;17;0;17;0.75;0;0.75;0;0;0;1;0;1;1530;0;1530;90;0;90;;;;1000;0;5;4.5;4.5;5.5;4.5;5;4.5;5;3;6;4.5;5;5.5;5;6.5;5;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;1;17;0.7975;943;11;14;53.17;15;;;0;Almería;Valencia;lun. 23/01 21:00;18.51851852;;;
Escudero Sergio;DL;9;;4.9;0;4.84;10;0;22;0.84;0;0.88;0;0;2;1;0;0.95;769;0;1747;76.9;0;79.41;;874;5.5;1000;0;0;0;5;0;5.5;0;5;0;5;6;5;0;0;5.5;3;5;4;4.5;0;5;7;5;5;4;3;4.5;5.5;0;0;0;0;4.5;0;4.5;5;0;0;2.5;;;;;2;4;0.7262;506;11;14;51.16;9;;;0;Valladolid;Valencia;dim. 29/01 14:00;50;0.37529;0.37261;0.02328
Mojica Johan;DL;6;9;4.9;5.75;5.24;10;2;25;1.05;0.35;1.14;0;0;1;0.6;1;0.84;629;176;1959;62.9;88;78.36;;1959;7;1000;6;5.5;0;0;0;5;0;5.5;3;0;0;0;5;5.5;0;4;6;3.5;0;0;4.5;0;5.5;6;7;6;0;4.5;6.5;0;3;4.5;4.5;7;5;6;7;5;1;;;;;1;8;0.8626;471;6;6;55;5;;;0;Villarreal;Rayo Vallecano;lun. 30/01 21:00;50;0.27139;0.36458;0.42284
Alejo Iván;MO;10;;4.9;4.33;5.21;15;3;31;0.78;1.26;0.9;0;0;2;0.53;0;0.55;724;65;1576;48.27;21.67;50.84;;788;6.5;1000;3;5.5;4.5;0;4.5;5;6;0;0;5.5;5.5;5.5;5;5;5;3.5;5;5;0;0;5;6;5.5;6;6;7;5;5.5;0;6;5;0;4.5;4;7;6.5;4;5;2.5;;;;1;1;5;0.6261;344;2;16;45.26;28;;;4;Cádiz;Mallorca;sam. 28/01 14:00;50;0.10287;0.17443;0.23038
Unai García;DC;10;15;4.9;0;4.83;15;0;18;1.14;0;1.1;0;0;0;0.93;0;0.94;1185;0;1439;79;0;79.94;;;;1000;0;5;0;3;4;5;6.5;5;5.5;0;3;6.5;3.5;6;5;4.5;6;5;4.5;0;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.5;4;;;;1;;2;0.7152;667;16;7;52.56;14;;;0;Osasuna;Atlético;dim. 29/01 16:15;50;0.47131;;0.09479
Paredes Aitor;DC;1;1;4.9;4.75;4.9;5;2;5;0.22;0.35;0.22;0;0;0;0.2;0.5;0.2;135;114;135;27;57;27;;;;1000;4.5;5;0;0;0;0;0;0;0;0;0;5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;0.8839;75;4;1;50;1;;;0;Athletic;Celta;dim. 29/01 18:30;50;;0.13184;0.21663
Martín Juan Carlos;G;7;9;4.9;0;4.9;10;0;10;1.05;0;1.05;0;0;0;1;0;1;900;0;900;90;0;90;;;;1000;0;0;0;0;0;0;0;0;4.5;5;4;2.5;5;6;5.5;6;5.5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;17;8;0;Girona;Barcelona;sam. 28/01 16:15;50;0.27482;0.28437;0.2994
